sample_id,year_pillar,month_pillar,day_pillar,hour_pillar,v1_current_strong,v2_month_branch_boost_strong,v1_current,v2_month_branch_boost,hidden_blend_0.4_strong,hidden_blend_0.4,hidden_blend_0.5_strong,hidden_blend_0.5,hidden_blend_0.6_strong,hidden_blend_0.6
S11,辛酉,丁酉,甲辰,庚午,metal,metal,"{""wood"": 15, ""fire"": 25, ""earth"": 10, ""metal"": 50, ""water"": 0}","{""wood"": 14, ""fire"": 23, ""earth"": 9, ""metal"": 54, ""water"": 0}",metal,"{""wood"": 13, ""fire"": 22, ""earth"": 11, ""metal"": 54, ""water"": 0}",metal,"{""wood"": 13, ""fire"": 22, ""earth"": 11, ""metal"": 54, ""water"": 0}",metal,"{""wood"": 12, ""fire"": 22, ""earth"": 12, ""metal"": 54, ""water"": 0}"
S12,庚午,戊子,辛酉,丁酉,metal,metal,"{""wood"": 0, ""fire"": 25, ""earth"": 15, ""metal"": 50, ""water"": 10}","{""wood"": 0, ""fire"": 23, ""earth"": 14, ""metal"": 45, ""water"": 18}",metal,"{""wood"": 0, ""fire"": 22, ""earth"": 13, ""metal"": 47, ""water"": 18}",metal,"{""wood"": 0, ""fire"": 22, ""earth"": 13, ""metal"": 46, ""water"": 19}",metal,"{""wood"": 0, ""fire"": 22, ""earth"": 13, ""metal"": 46, ""water"": 19}"
S13,癸未,甲寅,癸酉,乙卯,wood,wood,"{""wood"": 49, ""fire"": 0, ""earth"": 10, ""metal"": 10, ""water"": 31}","{""wood"": 54, ""fire"": 0, ""earth"": 9, ""metal"": 9, ""water"": 28}",wood,"{""wood"": 53, ""fire"": 1, ""earth"": 10, ""metal"": 11, ""water"": 25}",wood,"{""wood"": 54, ""fire"": 1, ""earth"": 10, ""metal"": 11, ""water"": 24}",wood,"{""wood"": 52, ""fire"": 2, ""earth"": 11, ""metal"": 12, ""water"": 23}"
S14,乙巳,癸未,庚午,癸未,water,water,"{""wood"": 15, ""fire"": 19, ""earth"": 19, ""metal"": 15, ""water"": 32}","{""wood"": 14, ""fire"": 18, ""earth"": 26, ""metal"": 14, ""water"": 28}",earth,"{""wood"": 13, ""fire"": 21, ""earth"": 28, ""metal"": 13, ""water"": 25}",earth,"{""wood"": 13, ""fire"": 22, ""earth"": 29, ""metal"": 12, ""water"": 24}",earth,"{""wood"": 12, ""fire"": 22, ""earth"": 31, ""metal"": 12, ""water"": 23}"
S15,乙卯,丙戌,己酉,乙亥,wood,wood,"{""wood"": 40, ""fire"": 15, ""earth"": 25, ""metal"": 10, ""water"": 10}","{""wood"": 36, ""fire"": 14, ""earth"": 32, ""metal"": 9, ""water"": 9}",wood,"{""wood"": 36, ""fire"": 13, ""earth"": 30, ""metal"": 11, ""water"": 10}",wood,"{""wood"": 37, ""fire"": 12, ""earth"": 29, ""metal"": 12, ""water"": 10}",wood,"{""wood"": 37, ""fire"": 12, ""earth"": 29, ""metal"": 12, ""water"": 10}"
S16,戊辰,乙丑,己卯,庚午,earth,earth,"{""wood"": 25, ""fire"": 10, ""earth"": 50, ""metal"": 15, ""water"": 0}","{""wood"": 23, ""fire"": 9, ""earth"": 54, ""metal"": 14, ""water"": 0}",earth,"{""wood"": 24, ""fire"": 10, ""earth"": 52, ""metal"": 13, ""water"": 1}",earth,"{""wood"": 24, ""fire"": 10, ""earth"": 53, ""metal"": 12, ""water"": 1}",earth,"{""wood"": 24, ""fire"": 10, ""earth"": 53, ""metal"": 12, ""water"": 1}"
S17,戊寅,丙辰,戊子,丙辰,earth,earth,"{""wood"": 10, ""fire"": 31, ""earth"": 49, ""metal"": 0, ""water"": 10}","{""wood"": 9, ""fire"": 28, ""earth"": 54, ""metal"": 0, ""water"": 9}",earth,"{""wood"": 11, ""fire"": 25, ""earth"": 53, ""metal"": 0, ""water"": 11}",earth,"{""wood"": 12, ""fire"": 25, ""earth"": 51, ""metal"": 0, ""water"": 12}",earth,"{""wood"": 12, ""fire"": 24, ""earth"": 52, ""metal"": 0, ""water"": 12}"
S18,乙酉,甲申,甲子,壬申,wood,wood,"{""wood"": 46, ""fire"": 0, ""earth"": 0, ""metal"": 29, ""water"": 25}","{""wood"": 42, ""fire"": 0, ""earth"": 0, ""metal"": 35, ""water"": 23}",metal,"{""wood"": 37, ""fire"": 0, ""earth"": 1, ""metal"": 38, ""water"": 24}",metal,"{""wood"": 36, ""fire"": 0, ""earth"": 1, ""metal"": 38, ""water"": 25}",metal,"{""wood"": 35, ""fire"": 0, ""earth"": 1, ""metal"": 39, ""water"": 25}"
S19,庚戌,丁亥,乙未,丁亥,fire,fire,"{""wood"": 15, ""fire"": 32, ""earth"": 19, ""metal"": 15, ""water"": 19}","{""wood"": 14, ""fire"": 28, ""earth"": 18, ""metal"": 14, ""water"": 26}",water,"{""wood"": 14, ""fire"": 26, ""earth"": 20, ""metal"": 13, ""water"": 27}",water,"{""wood"": 15, ""fire"": 25, ""earth"": 20, ""metal"": 13, ""water"": 27}",water,"{""wood"": 15, ""fire"": 24, ""earth"": 21, ""metal"": 12, ""water"": 28}"
S20,壬戌,癸丑,辛酉,甲午,water,water,"{""wood"": 15, ""fire"": 10, ""earth"": 19, ""metal"": 25, ""water"": 31}","{""wood"": 14, ""fire"": 9, ""earth"": 26, ""metal"": 23, ""water"": 28}",earth,"{""wood"": 12, ""fire"": 10, ""earth"": 29, ""metal"": 24, ""water"": 25}",earth,"{""wood"": 12, ""fire"": 10, ""earth"": 29, ""metal"": 24, ""water"": 25}",earth,"{""wood"": 12, ""fire"": 11, ""earth"": 29, ""metal"": 24, ""water"": 24}"
S21,丙子,壬辰,壬寅,乙巳,water,water,"{""wood"": 25, ""fire"": 25, ""earth"": 10, ""metal"": 0, ""water"": 40}","{""wood"": 23, ""fire"": 23, ""earth"": 18, ""metal"": 0, ""water"": 36}",water,"{""wood"": 23, ""fire"": 23, ""earth"": 18, ""metal"": 0, ""water"": 36}",water,"{""wood"": 23, ""fire"": 23, ""earth"": 19, ""metal"": 0, ""water"": 35}",water,"{""wood"": 23, ""fire"": 23, ""earth"": 19, ""metal"": 0, ""water"": 35}"
S22,辛巳,丁酉,癸未,壬戌,water,metal,"{""wood"": 0, ""fire"": 25, ""earth"": 19, ""metal"": 25, ""water"": 31}","{""wood"": 0, ""fire"": 23, ""earth"": 18, ""metal"": 31, ""water"": 28}",metal,"{""wood"": 0, ""fire"": 23, ""earth"": 20, ""metal"": 32, ""water"": 25}",metal,"{""wood"": 0, ""fire"": 23, ""earth"": 21, ""metal"": 32, ""water"": 24}",metal,"{""wood"": 0, ""fire"": 23, ""earth"": 21, ""metal"": 33, ""water"": 23}"
S23,己酉,丙子,戊午,甲寅,earth,earth,"{""wood"": 25, ""fire"": 25, ""earth"": 30, ""metal"": 10, ""water"": 10}","{""wood"": 23, ""fire"": 23, ""earth"": 27, ""metal"": 9, ""water"": 18}",earth,"{""wood"": 22, ""fire"": 23, ""earth"": 26, ""metal"": 11, ""water"": 18}",earth,"{""wood"": 22, ""fire"": 23, ""earth"": 25, ""metal"": 11, ""water"": 19}",earth,"{""wood"": 22, ""fire"": 23, ""earth"": 24, ""metal"": 12, ""water"": 19}"
S24,戊午,乙卯,己丑,庚午,earth,earth,"{""wood"": 25, ""fire"": 19, ""earth"": 41, ""metal"": 15, ""water"": 0}","{""wood"": 32, ""fire"": 18, ""earth"": 36, ""metal"": 14, ""water"": 0}",earth,"{""wood"": 31, ""fire"": 20, ""earth"": 35, ""metal"": 13, ""water"": 1}",earth,"{""wood"": 31, ""fire"": 20, ""earth"": 36, ""metal"": 12, ""water"": 1}",earth,"{""wood"": 30, ""fire"": 21, ""earth"": 36, ""metal"": 12, ""water"": 1}"
S25,丙寅,甲午,甲申,己巳,wood,fire,"{""wood"": 40, ""fire"": 35, ""earth"": 15, ""metal"": 10, ""water"": 0}","{""wood"": 37, ""fire"": 40, ""earth"": 14, ""metal"": 9, ""water"": 0}",fire,"{""wood"": 34, ""fire"": 41, ""earth"": 14, ""metal"": 10, ""water"": 1}",fire,"{""wood"": 34, ""fire"": 40, ""earth"": 15, ""metal"": 10, ""water"": 1}",fire,"{""wood"": 33, ""fire"": 40, ""earth"": 15, ""metal"": 11, ""water"": 1}"
S26,甲戌,甲戌,癸酉,壬戌,water,earth,"{""wood"": 30, ""fire"": 0, ""earth"": 29, ""metal"": 10, ""water"": 31}","{""wood"": 28, ""fire"": 0, ""earth"": 35, ""metal"": 9, ""water"": 28}",earth,"{""wood"": 25, ""fire"": 1, ""earth"": 36, ""metal"": 13, ""water"": 25}",earth,"{""wood"": 24, ""fire"": 1, ""earth"": 38, ""metal"": 13, ""water"": 24}",earth,"{""wood"": 23, ""fire"": 1, ""earth"": 39, ""metal"": 14, ""water"": 23}"
S27,辛巳,辛丑,乙亥,丁丑,metal,metal,"{""wood"": 15, ""fire"": 25, ""earth"": 19, ""metal"": 31, ""water"": 10}","{""wood"": 14, ""fire"": 23, ""earth"": 26, ""metal"": 28, ""water"": 9}",earth,"{""wood"": 13, ""fire"": 22, ""earth"": 28, ""metal"": 26, ""water"": 11}",earth,"{""wood"": 13, ""fire"": 22, ""earth"": 28, ""metal"": 25, ""water"": 12}",earth,"{""wood"": 13, ""fire"": 22, ""earth"": 29, ""metal"": 24, ""water"": 12}"
S28,丁未,甲辰,戊申,己未,earth,earth,"{""wood"": 15, ""fire"": 15, ""earth"": 60, ""metal"": 10, ""water"": 0}","{""wood"": 14, ""fire"": 14, ""earth"": 63, ""metal"": 9, ""water"": 0}",earth,"{""wood"": 14, ""fire"": 14, ""earth"": 61, ""metal"": 10, ""water"": 1}",earth,"{""wood"": 13, ""fire"": 13, ""earth"": 63, ""metal"": 10, ""water"": 1}",earth,"{""wood"": 13, ""fire"": 13, ""earth"": 63, ""metal"": 10, ""water"": 1}"
S29,丙辰,乙未,壬午,丙午,fire,fire,"{""wood"": 15, ""fire"": 51, ""earth"": 19, ""metal"": 0, ""water"": 15}","{""wood"": 14, ""fire"": 46, ""earth"": 26, ""metal"": 0, ""water"": 14}",fire,"{""wood"": 13, ""fire"": 45, ""earth"": 29, ""metal"": 0, ""water"": 13}",fire,"{""wood"": 13, ""fire"": 45, ""earth"": 30, ""metal"": 0, ""water"": 12}",fire,"{""wood"": 13, ""fire"": 45, ""earth"": 30, ""metal"": 0, ""water"": 12}"
S30,甲子,甲戌,辛丑,丁酉,wood,wood,"{""wood"": 31, ""fire"": 15, ""earth"": 19, ""metal"": 25, ""water"": 10}","{""wood"": 28, ""fire"": 14, ""earth"": 26, ""metal"": 23, ""water"": 9}",earth,"{""wood"": 25, ""fire"": 13, ""earth"": 27, ""metal"": 24, ""water"": 11}",earth,"{""wood"": 24, ""fire"": 12, ""earth"": 28, ""metal"": 24, ""water"": 12}",earth,"{""wood"": 23, ""fire"": 12, ""earth"": 29, ""metal"": 24, ""water"": 12}"
S31,壬申,壬寅,庚午,戊寅,water,water,"{""wood"": 19, ""fire"": 10, ""earth"": 15, ""metal"": 25, ""water"": 31}","{""wood"": 26, ""fire"": 9, ""earth"": 14, ""metal"": 23, ""water"": 28}",wood,"{""wood"": 28, ""fire"": 11, ""earth"": 14, ""metal"": 22, ""water"": 25}",wood,"{""wood"": 27, ""fire"": 12, ""earth"": 14, ""metal"": 22, ""water"": 25}",wood,"{""wood"": 28, ""fire"": 12, ""earth"": 14, ""metal"": 22, ""water"": 24}"
S32,甲申,己巳,己酉,庚午,metal,metal,"{""wood"": 15, ""fire"": 19, ""earth"": 31, ""metal"": 35, ""water"": 0}","{""wood"": 14, ""fire"": 26, ""earth"": 28, ""metal"": 32, ""water"": 0}",metal,"{""wood"": 12, ""fire"": 27, ""earth"": 26, ""metal"": 34, ""water"": 1}",metal,"{""wood"": 12, ""fire"": 28, ""earth"": 26, ""metal"": 33, ""water"": 1}",metal,"{""wood"": 12, ""fire"": 28, ""earth"": 26, ""metal"": 33, ""water"": 1}"
S33,丙午,丙申,庚戌,壬午,fire,fire,"{""wood"": 0, ""fire"": 50, ""earth"": 10, ""metal"": 25, ""water"": 15}","{""wood"": 0, ""fire"": 45, ""earth"": 9, ""metal"": 32, ""water"": 14}",fire,"{""wood"": 0, ""fire"": 45, ""earth"": 12, ""metal"": 30, ""water"": 13}",fire,"{""wood"": 0, ""fire"": 44, ""earth"": 13, ""metal"": 30, ""water"": 13}",fire,"{""wood"": 0, ""fire"": 45, ""earth"": 13, ""metal"": 30, ""water"": 12}"
S34,甲寅,丙子,庚子,戊子,water,water,"{""wood"": 25, ""fire"": 15, ""earth"": 15, ""metal"": 15, ""water"": 30}","{""wood"": 23, ""fire"": 14, ""earth"": 14, ""metal"": 14, ""water"": 35}",water,"{""wood"": 22, ""fire"": 13, ""earth"": 13, ""metal"": 12, ""water"": 40}",water,"{""wood"": 22, ""fire"": 13, ""earth"": 12, ""metal"": 12, ""water"": 41}",water,"{""wood"": 22, ""fire"": 12, ""earth"": 12, ""metal"": 12, ""water"": 42}"
S35,壬戌,癸卯,甲午,乙丑,wood,wood,"{""wood"": 40, ""fire"": 10, ""earth"": 19, ""metal"": 0, ""water"": 31}","{""wood"": 45, ""fire"": 9, ""earth"": 18, ""metal"": 0, ""water"": 28}",wood,"{""wood"": 43, ""fire"": 10, ""earth"": 21, ""metal"": 1, ""water"": 25}",wood,"{""wood"": 43, ""fire"": 10, ""earth"": 21, ""metal"": 1, ""water"": 25}",wood,"{""wood"": 42, ""fire"": 11, ""earth"": 22, ""metal"": 1, ""water"": 24}"
S36,丁丑,丙午,辛卯,甲午,fire,fire,"{""wood"": 25, ""fire"": 50, ""earth"": 10, ""metal"": 15, ""water"": 0}","{""wood"": 23, ""fire"": 54, ""earth"": 9, ""metal"": 14, ""water"": 0}",fire,"{""wood"": 23, ""fire"": 51, ""earth"": 12, ""metal"": 13, ""water"": 1}",fire,"{""wood"": 23, ""fire"": 52, ""earth"": 12, ""metal"": 12, ""water"": 1}",fire,"{""wood"": 23, ""fire"": 51, ""earth"": 13, ""metal"": 12, ""water"": 1}"
S37,丙戌,丙申,甲午,戊辰,fire,fire,"{""wood"": 15, ""fire"": 40, ""earth"": 35, ""metal"": 10, ""water"": 0}","{""wood"": 14, ""fire"": 36, ""earth"": 32, ""metal"": 18, ""water"": 0}",fire,"{""wood"": 13, ""fire"": 35, ""earth"": 33, ""metal"": 18, ""water"": 1}",fire,"{""wood"": 13, ""fire"": 34, ""earth"": 34, ""metal"": 18, ""water"": 1}",fire,"{""wood"": 12, ""fire"": 35, ""earth"": 34, ""metal"": 18, ""water"": 1}"
S38,庚戌,己丑,壬子,戊申,earth,earth,"{""wood"": 0, ""fire"": 0, ""earth"": 50, ""metal"": 25, ""water"": 25}","{""wood"": 0, ""fire"": 0, ""earth"": 54, ""metal"": 23, ""water"": 23}",earth,"{""wood"": 0, ""fire"": 0, ""earth"": 53, ""metal"": 23, ""water"": 24}",earth,"{""wood"": 0, ""fire"": 0, ""earth"": 52, ""metal"": 23, ""water"": 25}",earth,"{""wood"": 0, ""fire"": 0, ""earth"": 52, ""metal"": 23, ""water"": 25}"
S39,丁卯,癸卯,癸未,丁巳,fire,fire,"{""wood"": 19, ""fire"": 40, ""earth"": 10, ""metal"": 0, ""water"": 31}","{""wood"": 26, ""fire"": 37, ""earth"": 9, ""metal"": 0, ""water"": 28}",fire,"{""wood"": 30, ""fire"": 35, ""earth"": 10, ""metal"": 0, ""water"": 25}",fire,"{""wood"": 30, ""fire"": 35, ""earth"": 11, ""metal"": 0, ""water"": 24}",fire,"{""wood"": 31, ""fire"": 35, ""earth"": 11, ""metal"": 0, ""water"": 23}"
S40,庚午,丙戌,戊申,戊午,earth,earth,"{""wood"": 0, ""fire"": 35, ""earth"": 40, ""metal"": 25, ""water"": 0}","{""wood"": 0, ""fire"": 32, ""earth"": 45, ""metal"": 23, ""water"": 0}",earth,"{""wood"": 0, ""fire"": 32, ""earth"": 44, ""metal"": 23, ""water"": 1}",earth,"{""wood"": 0, ""fire"": 32, ""earth"": 44, ""metal"": 23, ""water"": 1}",earth,"{""wood"": 0, ""fire"": 33, ""earth"": 43, ""metal"": 23, ""water"": 1}"
